Resolution,Data_Rate(bps),Time(s)
16,51276855.51713923,1.0072243213653564
16,36809337.40644545,1.0070879459381104
16,33374634.895936906,1.0071797370910645
16,35554964.20724242,1.0075678825378418
16,36478254.29996102,1.0075304508209229
16,35450455.26561006,1.0074517726898193
16,37363783.65250749,1.0078208446502686
16,62581135.97346256,1.00767183303833
16,62446701.158816524,1.0076971054077148
16,62427627.69633007,1.0084071159362793
16,62430172.61069416,1.0079638957977295
16,57657512.65462953,1.0080928802490234
16,944730724.8982723,1.0081486701965332
16,84712376.43396187,1.008359670639038
16,51930185.932683036,1.0085716247558594
16,29497801.14322892,1.0084900856018066
16,32731231.381733287,1.008570671081543
16,33698709.37710774,1.0086681842803955
16,36548351.31978179,1.0088207721710205
16,31859435.07659565,1.0091156959533691
16,60060484.61040405,1.0091397762298584
16,62487194.10139963,1.0091867446899414
16,62480418.853727885,1.009296178817749
16,62480182.70601711,1.0092999935150146
16,62470944.82780258,1.0094492435455322
16,253835297.246648,1.0094268321990967
16,668855137.6019464,1.0095570087432861
16,51379379.975194715,1.0094490051269531
16,47300783.53231042,1.0092737674713135
16,35562785.18279013,1.0108580589294434
16,31323488.653365444,1.009284257888794
16,21469261.75962241,1.010274887084961
16,33026670.51009004,1.00968337059021
16,27996257.068696212,1.0073306560516357
16,62335483.34437614,1.0094950199127197
16,62481747.21786259,1.0092747211456299
16,62481348.702691466,1.0092811584472656
16,62594620.41248465,1.0095937252044678
16,62485413.738790005,1.0094833374023438
16,775031008.8260635,1.0093023777008057
16,206838261.35162607,1.0093145370483398
16,48893785.49248932,1.0092508792877197
16,30777233.487419426,1.0092530250549316
16,31646929.00358616,1.009810209274292
16,32501305.42923631,1.0092689990997314
16,34051452.73083125,1.0092778205871582
16,36452591.41739982,1.0095980167388916
16,49198517.996903114,1.0092928409576416
16,62459588.31714775,1.0096540451049805
16,62454128.869768366,1.009721040725708
16,62479858.005829446,1.0093052387237549
16,62480610.7250573,1.0092930793762207
16,224270661.69370782,1.0096642971038818
16,790616655.0410613,1.0096426010131836
16,56084153.59953742,1.0093674659729004
16,51679787.25042408,1.0095722675323486
16,33685658.62336093,1.0093073844909668
16,38167745.05785786,1.0093934535980225
16,29472910.36847796,1.0099096298217773
16,28048348.65480587,1.0092909336090088
16,28107454.422675326,1.0092525482177734
16,62383027.958917506,1.008725643157959
16,62606299.84327616,1.0094265937805176
16,62467772.704284586,1.009500503540039
16,62457963.29130444,1.0096590518951416
16,62484108.89357236,1.0092365741729736
16,540899135.7396206,1.0094215869903564
16,421371656.73934317,1.0096490383148193
16,56532177.1529424,1.0095093250274658
16,35451396.91141165,1.0093133449554443
16,33207416.98740225,1.0097315311431885
16,36452446.43860719,1.0093724727630615
16,39028922.66220103,1.0094192028045654
16,43181513.551523656,1.009822130203247
16,42595980.8677767,1.0093624591827393
16,62471107.13115723,1.009446620941162
16,62472730.211089,1.009420394897461
16,62476849.57695933,1.0093750953674316
16,62516002.19226905,1.0095248222351074
16,56786056.991306715,1.0095641613006592
16,930186328.6374776,1.0093204975128174
16,65027495.67282862,1.0093975067138672
16,51682275.768688835,1.009361743927002
16,31107358.29390263,1.0095715522766113
16,32138021.596171252,1.009481430053711
16,32814299.403553795,1.0093326568603516
16,34560543.869991794,1.0094225406646729
16,46232357.011147045,1.009430170059204
16,61545162.02729965,1.0094056129455566
16,62474574.722480215,1.0093905925750732
16,62592403.20498889,1.009629487991333
16,62470767.770559356,1.0094521045684814
16,62465031.22313928,1.009566068649292
16,317161430.6904765,1.0097172260284424
16,744585611.4990809,1.009270429611206
16,53354879.78863854,1.0094006061553955
16,48000690.55690056,1.0097241401672363
16,33607106.39894099,1.0096745491027832
16,36138635.72643164,1.00933837890625
16,34523258.315630026,1.0095431804656982
16,30022485.81729531,1.009261131286621
16,24987387.329763275,1.0093553066253662
16,62443232.83433275,1.009897232055664
16,62612585.58404735,1.0093040466308594
16,62483415.13281356,1.0092477798461914
16,62461237.67004684,1.009606122970581
16,62509005.90835994,1.0088346004486084
16,713379757.4292502,1.0095627307891846
16,236509158.20660758,1.0096759796142578
16,56296864.150218844,1.0092697143554688
16,26149086.660238698,1.0093152523040771
16,26932749.457631797,1.0103957653045654
16,30062333.401757263,1.0095934867858887
16,34987121.21272765,1.0093131065368652
16,36759628.56520894,1.0095880031585693
16,51507478.564273804,1.00645112991333
16,62283253.96047131,1.0094010829925537
16,62552043.51391751,1.0098795890808105
16,62480994.47125144,1.009286880493164
16,62480758.319189504,1.0092906951904297
16,193073854.10112628,1.0096702575683594
16,782141390.2661486,1.0094258785247803
16,55391672.24974816,1.0094473361968994
16,54004872.663578734,1.0093376636505127
16,39731769.576670066,1.0092542171478271
16,29061161.20566347,1.0098211765289307
16,28578180.831622884,1.0093188285827637
16,30175121.74519791,1.0094249248504639
16,29599116.479844432,1.0092787742614746
16,62608480.129427396,1.0092365741729736
16,62476419.342793286,1.0093607902526855
16,62458302.51280039,1.0096535682678223
16,62471667.82196222,1.0094375610351562
16,62614996.510966145,1.0092651844024658
16,604281336.4096807,1.0095224380493164
16,405632751.02914876,1.0093600749969482
16,56302614.009785816,1.0093388557434082
16,33441306.88898159,1.0099260807037354
16,40204827.89996388,1.0092427730560303
16,39042210.64648809,1.0092899799346924
16,44637993.33363212,1.0096790790557861
16,35630696.86172044,1.0094010829925537
16,39645946.81212333,1.0095393657684326
16,62452963.88878993,1.009739875793457
16,62540257.69381408,1.0092670917510986
16,62556855.637828834,1.0094006061553955
16,62452005.39272732,1.0097553730010986
16,57709796.436313815,1.009354591369629
16,937528824.2215703,1.0093863010406494
16,123043243.17555112,1.0092477798461914
16,48587780.636075735,1.0094070434570312
16,29549846.481047954,1.0095906257629395
16,29499099.600128185,1.009580373764038
16,29327735.087417353,1.009202241897583
16,25361211.955365606,1.0093252658843994
16,28129424.370355934,1.0093567371368408
16,56976872.59656443,1.0095610618591309
16,62502102.51940009,1.009347677230835
16,62542033.40653352,1.0093722343444824
16,62483282.286766134,1.0092499256134033
16,62463420.77994883,1.009570837020874
16,452021966.7102194,1.0095908641815186
16,561094916.3213289,1.009284496307373
16,49328708.86104496,1.0095129013061523
16,43629615.062333405,1.0092322826385498
16,34487132.28250235,1.009387493133545
16,34887868.271990925,1.0098240375518799
16,34322218.92975842,1.0100927352905273
16,32787785.597747575,1.009383201599121
16,33362804.77884115,1.0095434188842773
16,62472553.14372525,1.0094232559204102
16,62469498.88968608,1.0094726085662842
16,62493741.84549852,1.0096166133880615
16,62486603.607427195,1.0091962814331055
16,61406195.83671809,1.0092370510101318
16,857958164.2335074,1.0095148086547852
16,173263001.09308153,1.009397268295288
16,50541652.46193484,1.0092928409576416
16,36928765.41897952,1.0094959735870361
16,30968920.583333865,1.009220838546753
16,29874898.533587206,1.0092496871948242
16,32984102.42928088,1.0097179412841797
16,30676006.164947737,1.009310007095337
16,53298013.50093527,1.0092215538024902
16,62463435.53121046,1.009570598602295
16,62484935.52224965,1.009223222732544
16,62545051.98924273,1.0095911026000977
16,62463656.8009709,1.0095670223236084
16,286354101.5035056,1.0092887878417969
16,710825043.5323784,1.0092573165893555
16,54708558.53510554,1.0095093250274658
16,53928550.42084957,1.0093696117401123
16,41993699.2557495,1.0092923641204834
16,38463359.61434617,1.0092501640319824
16,27109804.104855213,1.0093529224395752
16,30376463.22158044,1.0093894004821777
16,37246200.3201214,1.0105531215667725
16,62478692.06479124,1.009324073791504
16,62393798.7728245,1.010697364807129
16,62562367.50243589,1.0093116760253906
16,62662071.42945964,1.0063703060150146
16,62321794.7512514,1.0097167491912842
16,705416906.8033006,1.0093317031860352
16,286135380.91528916,1.0093584060668945
16,51387414.84669299,1.0096168518066406
16,36975444.68238319,1.0095794200897217
16,29661584.253576186,1.0094101428985596
16,27317064.543059938,1.0096592903137207
16,30547992.667757712,1.0094306468963623
16,28164488.754226703,1.0092885494232178
16,45506777.69894484,1.0099239349365234
16,62479120.06340839,1.00931715965271
16,62479046.27012502,1.0093183517456055
16,62465825.327585965,1.0095319747924805
16,62571959.00144947,1.0092906951904297
16,294836225.2831653,1.00954270362854
16,748646131.2466915,1.009943962097168
16,55650562.49392923,1.0092623233795166
16,53403128.92618482,1.0092720985412598
16,29067756.444414217,1.009592056274414
16,34714091.519071355,1.009537696838379
16,31456360.53023706,1.00927734375
16,29343257.858512554,1.0092387199401855
16,39248956.59300701,1.0093035697937012
16,62480226.98357691,1.0092992782592773
16,62515248.61169959,1.0098259449005127
16,62471667.82196222,1.0094375610351562
16,62482603.304679,1.009260892868042
16,62485083.136815,1.009220838546753
16,691896828.8662493,1.0092442035675049
16,321697644.6421328,1.0094738006591797
16,49082653.348549336,1.0092885494232178
16,31608220.801765233,1.0091936588287354
16,31455823.92096739,1.0095605850219727
16,31724080.716925886,1.0092008113861084
16,36476259.42160531,1.0096311569213867
16,41169427.67962124,1.0095806121826172
16,51697270.14392794,1.0092308521270752
16,62482987.075349845,1.0092546939849854
16,62589243.61932206,1.0095679759979248
16,62469484.13556049,1.0094728469848633
16,62479769.451818526,1.0093066692352295
16,78362996.89724973,1.0095462799072266
16,725179413.5616245,1.0094273090362549
16,54763130.739163615,1.0094201564788818
16,56273849.09140301,1.009831190109253
16,32790690.060735337,1.009293794631958
16,26756588.16681349,1.0092294216156006
16,38758537.13681354,1.009552240371704
16,31217475.18797639,1.0092270374298096
16,29707352.709655035,1.009545087814331
16,62527397.05789985,1.009608507156372
16,62483193.723048344,1.009251356124878
16,62479636.62127281,1.0093088150024414
16,62460532.276211105,1.009638786315918
16,62706579.33943808,1.0056560039520264
16,655981351.2879092,1.005502462387085
16,368224235.84807694,1.0055937767028809
16,52038787.34399761,1.0055019855499268
16,31316689.090606358,1.005495309829712
16,34385511.82582701,1.0096936225891113
16,36399615.98911413,1.009228229522705
16,37889702.19164543,1.009291648864746
16,33900149.914944135,1.0095860958099365
16,40739402.31497081,1.0095562934875488
16,62481953.85736009,1.0092713832855225
16,62616667.99872621,1.0092382431030273
16,62481894.817364186,1.0092723369598389
16,62477629.47288616,1.0093412399291992
16,61444815.02500745,1.009850025177002
16,893782886.5899882,1.009263038635254
16,56819743.08712768,1.0092601776123047
16,51420894.37664507,1.0092849731445312
16,29550186.78908461,1.0092508792877197
16,31149706.43669608,1.0095422267913818
16,29772525.62322261,1.0093026161193848
16,30256355.204726398,1.0092039108276367
16,38337645.101302125,1.0095038414001465
16,62486928.37773096,1.0091910362243652
16,62470841.54428873,1.009450912475586
16,62462948.74325555,1.0095784664154053
16,62599641.54571067,1.0092453956604004
16,62482632.82533246,1.0092604160308838
16,457178031.5306704,1.0095345973968506
16,572513888.2946984,1.0095605850219727
16,55161446.60106757,1.009261131286621
16,46629802.68883299,1.0096197128295898
16,38042102.7594013,1.0092077255249023
16,38686822.703198045,1.009260654449463
16,35395282.760508694,1.0099678039550781
