Resolution,Data_Rate(bps),Time(s)
16,6989871753.486205,1.0069618225097656
16,6999258378.200501,1.0070185661315918
16,7000217321.391655,1.006500482559204
16,6998602241.429673,1.0073533058166504
16,7000826152.247302,1.0075843334197998
16,6997504013.607652,1.007805585861206
16,6999065489.699107,1.0075843334197998
16,7001353768.754116,1.0078275203704834
16,6997077244.509441,1.0081779956817627
16,6999153664.34024,1.008164644241333
16,7001821661.782355,1.0080876350402832
16,6999654548.170356,1.0083937644958496
16,6999025506.307173,1.0083110332489014
16,7001190044.162771,1.0085012912750244
16,6996637723.537079,1.0087783336639404
16,6999391945.210656,1.008457899093628
16,7002437535.028561,1.0085725784301758
16,6997319015.481598,1.0089778900146484
16,6998620952.868827,1.0089707374572754
16,7000634153.685943,1.009033203125
16,6998162831.106186,1.0093464851379395
16,6999362141.951202,1.0091233253479004
16,7001559882.995318,1.009324073791504
16,6996374035.732481,1.009864091873169
16,6999722185.927785,1.0092997550964355
16,6999207307.853486,1.0092580318450928
16,6997691207.10614,1.009542465209961
16,7000031909.771831,1.0092813968658447
16,7000769021.335743,1.0095946788787842
16,6997502831.090934,1.0096461772918701
16,6999838955.679192,1.0092506408691406
16,6999965511.864625,1.0092778205871582
16,6999489574.261274,1.00935959815979
16,6999347358.690552,1.0095438957214355
16,7000084829.956882,1.0093598365783691
16,6997598740.083527,1.0095593929290771
16,6999711513.811929,1.009263038635254
16,6999064824.583781,1.0092642307281494
16,6999923810.460069,1.0095205307006836
16,6999989945.302934,1.0092551708221436
16,6999918033.921669,1.0095643997192383
16,6999267479.99258,1.0092816352844238
16,7001137817.836116,1.009274959564209
16,6999268119.294003,1.0098075866699219
16,6999069488.495934,1.0093305110931396
16,7001867413.740008,1.0092737674713135
16,6996907280.377384,1.0095515251159668
16,6999927201.075049,1.0092689990997314
16,7002051643.684049,1.009474277496338
16,6997648783.529759,1.0095736980438232
16,6999758305.204405,1.0092813968658447
16,7001952258.220792,1.0091946125030518
16,6996591416.884745,1.0096580982208252
16,6998092478.496647,1.0096244812011719
16,7002339127.021419,1.0093193054199219
16,6997712665.267176,1.009538173675537
16,6999710272.755889,1.0093684196472168
16,6999622034.899395,1.0092663764953613
16,6998574525.992405,1.0096087455749512
16,6999195293.214611,1.0094020366668701
16,6999839795.377017,1.009293556213379
16,7007337553.741199,1.008016586303711
16,6997880197.993353,1.0093884468078613
16,6998612266.094356,1.0095901489257812
16,6999793800.906259,1.0093157291412354
16,7002137361.794679,1.009253978729248
16,6999190128.451317,1.009720802307129
16,6999934158.159913,1.0093708038330078
16,7000946941.263274,1.0094447135925293
16,6997337280.215555,1.0096557140350342
16,6999247927.418754,1.0092988014221191
16,7002160113.81791,1.0094192028045654
16,6995662206.721157,1.0097575187683105
16,6999977216.836342,1.0093681812286377
16,7001728245.433635,1.0092806816101074
16,7003393198.331486,1.0095975399017334
16,6999248079.935925,1.0094709396362305
16,6999914909.7157135,1.0096592903137207
16,6997626173.6114025,1.0096774101257324
16,6999589838.628124,1.0093152523040771
16,7001257257.494059,1.009368896484375
16,6997613992.36778,1.0097270011901855
16,6998313452.6356325,1.0095698833465576
16,6999653258.13699,1.009335994720459
16,6997711297.401167,1.0096280574798584
16,7000101660.439499,1.009286880493164
16,6999432517.366048,1.0094084739685059
16,6999119349.016857,1.0095815658569336
16,6999487169.672457,1.0094053745269775
16,6999805375.268199,1.0093140602111816
16,6999695166.370128,1.009274959564209
16,7000130875.746394,1.0094261169433594
16,6998080420.125722,1.0099143981933594
16,6999711104.530393,1.009326457977295
16,7001851166.698791,1.0092928409576416
16,6997363822.015969,1.0095813274383545
16,6999626281.862588,1.009397268295288
16,7000797304.207318,1.0096001625061035
16,6997727047.270057,1.0096664428710938
16,6999425914.754491,1.0093269348144531
16,7002285093.592713,1.0092625617980957
16,6997402767.624216,1.0097694396972656
16,6998152561.160896,1.0095655918121338
16,7001691302.96337,1.0093481540679932
16,6997393959.659993,1.0095949172973633
16,6999742473.163139,1.009319543838501
16,6999552493.185186,1.0092716217041016
16,6995718287.230199,1.0099563598632812
16,6999807122.199879,1.0093185901641846
16,7001888119.339321,1.00931978225708
16,6998308419.1267185,1.0095670223236084
16,7000001000.644009,1.0093121528625488
16,6998720067.973766,1.0095124244689941
16,7000068888.339448,1.0093071460723877
16,6999957691.928063,1.0092167854309082
16,7020677040.63855,1.0058188438415527
16,6978889277.563165,1.009352207183838
16,7001315707.640374,1.0094835758209229
16,6999916067.448277,1.0092933177947998
16,6999973154.271194,1.009244441986084
16,6999554081.375525,1.0094351768493652
16,6999384815.215628,1.0096759796142578
16,6998980384.489727,1.0094330310821533
16,7001934055.383271,1.009291648864746
16,6997184301.861337,1.0095593929290771
16,6999251382.206444,1.0093879699707031
16,7015282815.414925,1.0074200630187988
16,6983877779.580405,1.0096604824066162
16,6999797358.928007,1.0092434883117676
16,7001412412.601433,1.0092377662658691
16,6997340090.780706,1.0097832679748535
16,6999139568.007018,1.0094339847564697
16,6999730875.51614,1.0093200206756592
16,6997032624.856935,1.009596824645996
16,6999612043.025875,1.0092642307281494
16,6999354266.36329,1.009392261505127
16,6996642689.094137,1.0097990036010742
16,6999593688.615012,1.0093421936035156
16,6999784808.4893875,1.0092799663543701
16,6999204819.5299835,1.0092990398406982
16,6999445291.355787,1.0093839168548584
16,6998801748.357771,1.0095341205596924
16,7000122858.405466,1.0092682838439941
16,7001683968.5626335,1.0093085765838623
16,6999823306.855483,1.009298324584961
16,6998786135.543295,1.009500503540039
16,7000465518.659802,1.009587049484253
16,6999771683.270629,1.00962495803833
16,6999781821.570099,1.0092122554779053
16,7002073016.722951,1.009272813796997
16,6997091408.831696,1.0097055435180664
16,6998409811.355153,1.0095798969268799
16,7001906835.059523,1.0093469619750977
16,6997580026.820182,1.0096135139465332
16,6999182684.68015,1.009352445602417
16,7001525919.606343,1.0093719959259033
16,6996835366.863702,1.009964942932129
16,6999901836.609178,1.009328842163086
16,6999522261.93301,1.0093357563018799
16,6997936015.554439,1.009594440460205
16,6999901255.345588,1.0092990398406982
16,6998839593.434934,1.0095202922821045
16,6996634999.292125,1.0098981857299805
16,6999808355.18712,1.0092968940734863
16,6999747035.184494,1.00929856300354
16,6999225615.92085,1.0092613697052002
16,6998920636.120697,1.0095109939575195
16,7000445360.753959,1.0096604824066162
16,6999770160.7795515,1.009294033050537
