Resolution,Data_Rate(bps),Time(s)
16,9783437053.182999,1.007242202758789
16,9799192180.692019,1.0070223808288574
16,9799996710.615047,1.0070891380310059
16,9795477295.348597,1.0076990127563477
16,9798805548.786995,1.0073943138122559
16,9799905906.208391,1.0074272155761719
16,9799451280.943077,1.0075311660766602
16,9799542155.596838,1.0076336860656738
16,9798154746.774935,1.0083699226379395
16,9799052357.138092,1.007911205291748
16,9802366772.938364,1.007929801940918
16,9799119451.485954,1.0081126689910889
16,9799216911.798927,1.0082495212554932
16,9801465594.100416,1.0085270404815674
16,9799175288.38346,1.008410930633545
16,9799316173.09734,1.0084519386291504
16,9799830881.792143,1.0085577964782715
16,9798773985.2213,1.0090184211730957
16,9784223387.06544,1.0105061531066895
16,9803130836.285711,1.0090155601501465
16,9786718558.09904,1.0103237628936768
16,9799996539.303646,1.009096622467041
16,9801605745.165043,1.0102550983428955
16,9795069364.659641,1.0098912715911865
16,9801136531.134626,1.0101890563964844
16,9795565254.158308,1.010040044784546
16,9810688083.497972,1.0096030235290527
16,9800556449.354818,1.0093207359313965
16,9807170117.485966,1.0096673965454102
16,9800420832.273306,1.009333848953247
16,9812447041.587736,1.0093231201171875
16,9799929580.52679,1.0092930793762207
16,9799472792.507654,1.009420394897461
16,9802172911.43503,1.0094308853149414
16,9800092267.744135,1.009777545928955
16,9800124042.03905,1.0092730522155762
16,9802611896.045351,1.0092806816101074
16,9795625161.600872,1.0098271369934082
16,9801196978.945375,1.0093777179718018
16,9802508743.571035,1.0092802047729492
16,9796236565.667675,1.0096077919006348
16,9799557553.49641,1.0092716217041016
16,9800745498.016056,1.0095975399017334
16,9796780759.47503,1.0096781253814697
16,9799523323.901854,1.0092930793762207
16,9802507399.345383,1.009279489517212
16,9796263850.139065,1.009535789489746
16,9797764875.159285,1.0096168518066406
16,9798794535.941584,1.0094270706176758
16,9796837031.347416,1.0095877647399902
16,9799570742.531021,1.0093770027160645
16,9799392817.993723,1.009286880493164
16,9797358466.307169,1.0096518993377686
16,9800026920.41069,1.009335994720459
16,9799470815.844618,1.0092651844024658
16,9800145363.555975,1.0092520713806152
16,9799928873.457396,1.0092427730560303
16,9797954981.370758,1.0099055767059326
16,9799891637.406946,1.0093610286712646
16,9802165069.025803,1.009448766708374
16,9799668686.268501,1.0092968940734863
16,9799799933.872263,1.0092697143554688
16,9800859126.821829,1.0095815658569336
16,9799238104.310871,1.0096964836120605
16,9799558424.880041,1.009291172027588
16,9802590548.208967,1.0092487335205078
16,9796023912.14218,1.009645938873291
16,9798211720.402487,1.0095460414886475
16,9803245702.945404,1.0093238353729248
16,9796083448.508968,1.0096628665924072
16,9799668393.475039,1.0092380046844482
16,9803467253.250608,1.0092549324035645
16,9795044135.361588,1.009838342666626
16,9799862772.301683,1.0093119144439697
16,9801928322.824158,1.009422779083252
16,9796860464.327305,1.0096280574798584
16,9798903144.790157,1.0093629360198975
16,9800640119.877571,1.0096869468688965
16,9797272255.561218,1.0095958709716797
16,9800008664.839527,1.0092499256134033
16,9798070138.094316,1.0093975067138672
16,9796792510.78564,1.009584665298462
16,9797992005.008387,1.0095951557159424
16,9800180663.368954,1.0094294548034668
16,9800250710.943932,1.0093462467193604
16,9799852448.644436,1.009371042251587
16,9799338197.863056,1.0094692707061768
16,9800147555.918823,1.009455919265747
16,9799842392.024223,1.009415626525879
16,9799326943.342966,1.0098273754119873
16,9800202423.924286,1.009326457977295
16,9801617378.358217,1.0096468925476074
16,9797927562.55523,1.0097384452819824
16,9800001509.722664,1.0093283653259277
16,9802804951.947632,1.0093231201171875
16,9797235137.281893,1.0096406936645508
16,9798332754.290144,1.0096616744995117
16,9803978614.342707,1.0093815326690674
16,9796976634.119276,1.0096545219421387
16,9799969591.227528,1.0093863010406494
16,9802593987.895367,1.0094020366668701
16,9794707676.443739,1.0100011825561523
16,9800826143.52292,1.0094244480133057
16,9802428551.76367,1.009430170059204
16,9797357447.655348,1.0096733570098877
16,9800312084.998018,1.0093348026275635
16,9797916804.975985,1.0096652507781982
16,9796103059.395998,1.0098462104797363
16,9800820939.872276,1.0093276500701904
16,9799602064.58563,1.0093584060668945
16,9799322671.089323,1.009364128112793
16,9798474633.271072,1.009603500366211
16,9800442348.7191,1.0093820095062256
16,9799194948.919146,1.0095164775848389
16,9800340937.3324,1.0093472003936768
16,9799900594.781567,1.0097990036010742
16,9798504050.54755,1.0096235275268555
16,9803315396.344027,1.0093815326690674
16,9797554845.67535,1.0098016262054443
16,9799632172.39717,1.0093920230865479
16,9803640559.106455,1.0093472003936768
16,9798748253.386898,1.0099689960479736
16,9800435218.346277,1.0094501972198486
16,9803113795.40711,1.0093271732330322
16,9796960373.386322,1.0096869468688965
16,9799848359.126163,1.0093791484832764
16,9802448497.724834,1.0096466541290283
16,9797372551.374935,1.0096461772918701
16,9800332016.352043,1.009286642074585
16,9802602993.698572,1.0093097686767578
16,9797469816.469358,1.0096728801727295
16,9798628059.884249,1.009554386138916
16,9799765884.731041,1.0093705654144287
16,9796979014.266312,1.009535551071167
16,9799918324.90382,1.0092694759368896
16,9791705339.974552,1.0100536346435547
16,9794543495.65617,1.0099155902862549
16,9799587123.339499,1.0092976093292236
16,9799099094.805216,1.0093026161193848
16,9799467719.501595,1.0093090534210205
16,9798906596.09475,1.0094146728515625
16,9798684413.78071,1.0094375610351562
16,9798868005.951332,1.0093750953674316
