Resolution,Latency(s)
16,0.249900317
16,0.107237471
16,0.103431308
16,0.106035143
16,0.123214043
16,0.096034749
16,0.108377900
16,0.088563320
16,0.121527130
16,0.102530974
16,0.100612745
16,0.107119494
16,0.112615454
16,0.111384174
16,0.096498679
16,0.106418172
16,0.113189477
16,0.107197829
16,0.106171586
16,0.111131737
16,0.119020977
16,0.107061725
16,0.099226982
16,0.114189817
16,0.113517877
16,0.099301566
16,0.102777531
16,0.101921457
16,0.099852342
16,0.103081075
16,0.105547340
16,0.108452103
16,0.120722479
16,0.109931156
16,0.098820843
16,0.100011245
16,0.110855599
16,0.113235714
16,0.103188703
16,0.106602689
16,0.110259982
16,0.101794824
16,0.108546749
16,0.096158977
16,0.096814694
16,0.103298183
16,0.104794670
16,0.100887236
16,0.106029944
16,0.074435499
16,0.097134458
16,0.103490790
16,0.098995319
16,0.098639958
16,0.106038654
16,0.096641187
16,0.111915812
16,0.108928877
16,0.098806142
16,0.103792457
16,0.095396453
16,0.107686418
16,0.092113748
16,0.104254480
16,0.112389190
16,0.101105244
16,0.097585998
16,0.095812536
16,0.102226675
16,0.101463815
16,0.099893245
16,0.109120960
16,0.116013164
16,0.111980684
16,0.116620785
16,0.114137388
16,0.087463417
16,0.098434148
16,0.094500991
16,0.094577486
16,0.106024226
16,0.081862742
16,0.089695557
16,0.100630052
16,0.105167705
16,0.102528909
16,0.110186119
16,0.101107644
16,0.114728074
16,0.105416210
16,0.113025635
16,0.095224555
16,0.097688616
16,0.105565327
16,0.114547591
16,0.110623571
16,0.109781444
16,0.107630783
16,0.110543770
16,0.110068617
16,0.091247870
16,0.095191393
16,0.102875928
16,0.104737215
16,0.110477914
16,0.098627268
16,0.062227240
16,0.063582986
16,0.074014101
16,0.093233257
16,0.092164315
16,0.097849561
16,0.104120258
16,0.101902080
16,0.107657214
16,0.102497200
16,0.103118265
16,0.073993340
16,0.090409990
16,0.104337152
16,0.105524130
16,0.091364639
16,0.095757849
16,0.110438014
16,0.098722548
16,0.097976388
16,0.074270776
16,0.096117194
16,0.103507418
16,0.103197945
16,0.098650162
16,0.102042434
16,0.102755788
16,0.063163598
16,0.091168971
16,0.102092523
16,0.109759332
16,0.104283964
16,0.107450439
16,0.104789893
