Resolution,Latency(s)
16,0.989643485
16,0.862443958
16,0.880986012
16,0.837701996
16,0.866968352
16,0.826274229
16,0.784625287
16,0.826449674
16,0.822371771
16,0.836631375
16,0.799967680
16,0.859767187
16,0.835051750
16,0.695166784
16,0.791157893
16,0.772738839
16,0.769082395
16,0.843327313
16,0.842976284
16,0.823002577
16,0.851478946
16,1.006078616
16,0.830839500
16,0.830120243
16,0.792509784
16,0.766902297
16,0.817601708
16,0.795339012
16,0.774619284
16,0.798739437
16,0.830092026
16,0.815536203
16,0.852347523
16,0.788404652
16,0.908457656
16,0.820859695
16,0.853557661
16,0.709281537
16,0.802528138
16,0.781602335
16,0.773956079
16,0.756832521
16,0.827489114
16,1.006277958
16,0.809958649
16,0.758951594
16,0.754722125
16,0.805501279
16,0.836823966
16,0.762051708
16,0.767550300
16,0.871640841
16,0.772920257
16,0.823061457
16,0.833841636
16,0.802550845
16,0.842784775
16,0.838979667
16,0.833172426
16,0.837784269
16,0.826948054
16,0.817406378
16,0.778494129
16,0.839359048
16,0.823908806
16,0.784124325
16,0.831748430
16,0.744646015
16,0.796519101
16,0.821625997
16,0.825266561
16,0.828103819
16,0.804609528
16,0.788198720
16,0.825412694
16,0.840207114
16,0.794371352
16,0.731625010
16,0.711967875
16,0.650948551
16,0.639813770
16,0.818608241
16,0.826689612
16,0.803978887
16,0.835895037
16,0.832235346
16,0.830017302
16,0.807511408
16,0.820062414
16,0.865975536
16,0.811185425
16,0.733758702
16,0.821380130
16,0.826475806
16,0.764106863
16,0.637556922
16,0.782447224
16,0.787420054
16,0.788407300
16,0.760179821
16,0.766378975
16,0.825309642
16,0.802600385
