Resolution,RTT(s)
16,6.05161E-4
16,3.62765E-4
16,3.6642E-4
16,4.85683E-4
16,3.39134E-4
16,3.42409E-4
16,3.84684E-4
16,4.97917E-4
16,4.835E-4
16,3.94218E-4
16,4.38309E-4
16,4.7438E-4
16,4.69733E-4
16,4.24816E-4
16,4.75293E-4
16,4.23074E-4
16,4.08354E-4
16,3.56651E-4
16,3.70612E-4
16,3.5214E-4
16,4.80232E-4
16,4.35164E-4
16,3.5282E-4
16,3.30836E-4
16,4.27439E-4
16,4.66987E-4
16,4.56661E-4
16,4.9542E-4
16,7.22313E-4
16,5.23486E-4
16,4.70968E-4
16,4.46642E-4
16,4.62344E-4
16,4.72985E-4
16,4.59252E-4
16,3.55009E-4
16,5.98457E-4
16,4.4517E-4
16,5.14058E-4
16,5.21761E-4
16,4.54202E-4
16,0.058464027
16,5.02544E-4
16,3.26787E-4
16,3.15207E-4
16,3.21358E-4
16,3.16062E-4
16,4.30027E-4
16,3.15546E-4
16,3.08148E-4
16,3.00412E-4
16,2.89779E-4
16,3.19766E-4
16,3.06164E-4
16,3.37106E-4
16,3.07723E-4
16,0.004393442
16,7.03684E-4
16,4.58236E-4
16,5.72447E-4
16,3.73637E-4
16,3.47041E-4
16,3.70375E-4
16,3.08139E-4
16,3.58446E-4
16,3.17358E-4
16,2.70313E-4
16,2.7254E-4
16,2.61399E-4
16,0.001750028
16,5.15611E-4
16,3.81403E-4
16,2.59385E-4
16,2.6096E-4
16,2.59257E-4
16,2.51207E-4
16,2.62031E-4
16,0.060694999
16,5.75731E-4
16,7.23171E-4
16,9.33064E-4
16,5.97066E-4
16,6.29982E-4
16,5.40579E-4
16,7.34282E-4
16,4.88634E-4
16,4.82292E-4
16,4.75145E-4
16,4.58878E-4
16,4.66984E-4
16,4.51373E-4
16,4.70342E-4
16,4.65398E-4
16,4.80994E-4
16,7.66725E-4
16,6.27068E-4
16,4.93825E-4
16,4.86924E-4
16,4.18584E-4
16,4.44336E-4
16,4.66163E-4
16,4.34749E-4
