Resolution,Latency(s)
16,0.716562
16,0.881064
16,0.840862
16,0.813633
16,0.822229
16,0.777640
16,0.812288
16,0.870067
16,0.793159
16,0.864147
16,0.825361
16,0.866858
16,0.780058
16,0.800971
16,0.814108
16,0.839328
16,0.813568
16,0.832055
16,0.679149
16,0.891160
16,0.795684
16,0.750944
16,0.821593
16,0.803932
16,0.800636
16,0.825684
16,0.836368
16,0.834493
16,0.814438
16,0.808238
16,0.829997
16,0.820123
16,0.814572
16,0.782937
16,0.830677
16,0.810651
16,0.820248
16,0.717953
16,0.788678
16,0.787439
16,0.810667
16,0.705600
16,0.985105
16,0.805566
16,0.836203
16,0.857146
16,0.853836
16,0.818917
16,0.803393
16,0.731051
16,0.853469
16,0.794326
16,0.951625
16,0.833033
16,0.815464
16,0.788677
16,0.839592
16,0.892342
16,0.820175
16,0.795364
16,0.830770
16,0.822612
16,0.825741
16,0.839636
16,0.802810
16,0.810558
16,0.825319
16,0.754142
16,0.818404
16,0.835614
16,0.830351
16,0.796758
16,0.735048
16,0.840252
16,0.829009
16,0.851229
16,0.799340
16,0.766355
16,0.734887
16,0.873055
16,0.805740
16,0.797391
16,0.849462
16,0.914144
16,0.845303
16,0.815766
16,0.832621
16,0.827694
16,0.902223
16,0.840619
16,0.792125
16,0.824767
16,0.824237
16,0.924831
16,0.780646
16,0.767365
16,0.822538
16,0.827397
16,0.925249
16,0.804263
16,0.664834
16,0.836492
