Resolution,Latency(s)
16,0.025659
16,0.000571
16,0.015007
16,0.015407
16,0.015051
16,0.025043
16,0.014890
16,0.014645
16,0.025067
16,0.015126
16,0.018520
16,0.014981
16,0.025875
16,0.014330
16,0.025571
16,0.014692
16,0.014948
16,0.014288
16,0.024711
16,0.000244
16,0.015326
16,0.000773
16,0.000205
16,0.024723
16,0.001163
16,0.001191
16,0.019304
16,0.014162
16,0.000782
16,0.000651
16,0.014169
16,0.000630
16,0.015613
16,0.000822
16,0.000773
16,0.000169
16,0.000580
16,0.000596
16,0.000550
16,0.000869
16,0.014605
16,0.000201
16,0.000216
16,0.000812
16,0.000583
16,0.000812
16,0.000638
16,0.000686
16,0.000354
16,0.026083
16,0.000170
16,0.000712
16,0.000590
16,0.024623
16,0.000778
16,0.000567
16,0.014541
16,0.000752
16,0.000735
16,0.000558
16,0.014455
16,0.000553
16,0.000899
16,0.030807
16,0.024636
16,0.000591
16,0.000164
16,0.000116
16,0.000665
16,0.014145
16,0.000223
16,0.000118
16,0.000291
16,0.000158
16,0.042600
16,0.000175
16,0.024156
16,0.000622
16,0.000622
16,0.014422
16,0.000184
16,0.000892
16,0.000512
16,0.013972
16,0.000146
16,0.000645
16,0.025367
16,0.014097
16,0.024823
16,0.000524
16,0.014215
16,0.000134
16,0.014980
16,0.014639
16,0.019564
16,0.014176
16,0.000265
16,0.000773
16,0.015178
16,0.000614
16,0.000941
16,0.000484
16,0.000847
16,0.000943
16,0.000426
16,0.000168
16,0.000875
16,0.000464
16,0.000857
16,0.013844
16,0.023677
16,0.000757
16,0.014956
16,0.000868
16,0.000457
16,0.000560
16,0.000506
16,0.000545
16,0.000493
16,0.000869
16,0.014493
16,0.014501
16,0.000564
16,0.014421
16,0.014290
16,0.000445
16,0.000565
16,0.000483
16,0.014784
16,0.000511
16,0.000614
16,0.000571
16,0.000599
16,0.014187
16,0.000908
16,0.000663
16,0.014780
16,0.000526
16,0.015565
16,0.000607
16,0.000507
16,0.000560
16,0.000551
16,0.000549
16,0.014315
16,0.000466
16,0.014349
16,0.000912
16,0.000847
16,0.014166
16,0.000554
16,0.000502
16,0.000814
16,0.001021
16,0.000476
16,0.014162
16,0.014314
16,0.000805
16,0.014502
16,0.000592
16,0.024811
16,0.000470
16,0.001143
16,0.000943
16,0.000558
16,0.000805
16,0.014286
16,0.024435
16,0.000810
16,0.001024
16,0.000450
16,0.000518
16,0.000171
16,0.000466
16,0.000443
16,0.000533
16,0.024742
16,0.000611
16,0.000513
16,0.000531
16,0.000436
16,0.000514
16,0.025348
16,0.014998
16,0.000337
16,0.000157
16,0.000506
16,0.000439
16,0.000464
16,0.013828
16,0.000437
16,0.000584
16,0.014413
16,0.000494
16,0.000491
16,0.000603
16,0.000469
16,0.000426
16,0.000451
16,0.000465
16,0.001334
16,0.001130
16,0.000583
16,0.000463
16,0.024748
16,0.000602
16,0.024990
16,0.000111
16,0.025051
16,0.000493
16,0.000439
16,0.000741
16,0.000086
16,0.014441
16,0.000659
16,0.000419
16,0.014403
16,0.000512
16,0.000844
16,0.000530
16,0.014116
16,0.014036
16,0.000474
16,0.000521
16,0.000703
16,0.000537
16,0.000417
16,0.000576
16,0.000432
16,0.000999
16,0.000910
