Resolution,Latency(s)
16,0.119853357
16,0.112824482
16,0.109203863
16,0.107127089
16,0.103169977
16,0.113425610
16,0.106401807
16,0.097131733
16,0.117393899
16,0.108204307
16,0.100395416
16,0.100790776
16,0.098066172
16,0.098235481
16,0.108946364
16,0.098028892
16,0.107449790
16,0.095052553
16,0.100083485
16,0.113146861
16,0.107061651
16,0.100128528
16,0.107897159
16,0.109488724
16,0.113103078
16,0.107698517
16,0.103528178
16,0.108614398
16,0.115555823
16,0.101052520
16,0.101166884
16,0.107956331
16,0.109802400
16,0.114707656
16,0.104655053
16,0.108585305
16,0.106361210
16,0.119189449
16,0.111919905
16,0.107426553
16,0.107581985
16,0.101467606
16,0.096875942
16,0.096315513
16,0.108214199
16,0.113460683
16,0.110314098
16,0.098711443
16,0.117922690
16,0.106087265
16,0.077489445
16,0.097900719
16,0.109912328
16,0.100648916
16,0.104986960
16,0.106679872
16,0.119823252
16,0.108414897
16,0.099762517
16,0.107506012
16,0.101088916
16,0.340184104
16,0.092304366
16,0.101977003
16,0.105428537
16,0.106430430
16,0.099601688
16,0.105736943
16,0.097405157
16,0.102177276
16,0.108851409
16,0.105857321
16,0.111459797
16,0.112378872
16,0.081309415
16,0.089771980
16,0.110489427
16,0.073682290
16,0.073626091
16,0.090874232
16,0.109975823
16,0.112319155
16,0.093309288
16,0.095800697
16,0.104213175
16,0.103467769
16,0.107455995
16,0.092084047
16,0.085226983
16,0.098728614
16,0.097785223
16,0.102348976
16,0.099358551
16,0.112654325
16,0.099407877
16,0.100465260
16,0.116541346
16,0.103533828
16,0.109771838
16,0.113614502
16,0.104427062
16,0.099394993
16,0.108218324
16,0.104818566
16,0.106358180
16,0.111197436
16,0.100847879
16,0.100725790
16,0.107373257
16,0.093318245
16,0.102328179
16,0.101097274
16,0.116631506
16,0.107377339
16,0.103700954
16,0.097091546
16,0.099851068
16,0.098232660
16,0.104820051
16,0.109954113
16,0.110565682
16,0.107971298
16,0.108711127
16,0.116477124
16,0.104712766
16,0.103471978
16,0.095053944
16,0.107001938
16,0.114291511
16,0.109868634
16,0.109245815
16,0.108787785
16,0.106389571
16,0.109660146
16,0.117154037
16,0.105241828
16,0.107692400
16,0.102643199
16,0.104904364
16,0.102372632
16,0.099226522
16,0.093543662
16,0.089850045
16,0.097184243
16,0.116163683
16,0.111494121
16,0.100121937
16,0.095170002
16,0.095626763
16,0.095841706
16,0.104467998
16,0.075192032
16,0.111200008
16,0.111875954
16,0.091642068
16,0.105954402
16,0.106605341
16,0.101564211
16,0.103260417
16,0.091199708
16,0.106235044
16,0.109739517
16,0.104004126
16,0.114677708
16,0.103469115
16,0.100069648
16,0.101012538
16,0.104359725
16,0.111555456
16,0.108244041
16,0.108837595
16,0.101904197
16,0.105121976
16,0.109305829
16,0.099794407
16,0.105335826
16,0.117260439
16,0.099528348
16,0.104274611
16,0.110753268
16,0.109974574
16,0.103801330
16,0.107147704
16,0.096333748
16,0.114286279
16,0.099833267
16,0.105056942
16,0.108234956
16,0.108375654
16,0.088411115
16,0.098773631
16,0.102030652
16,0.116131587
16,0.106264257
16,0.116718796
16,0.105775504
16,0.101918962
16,0.102724845
16,0.099070802
16,0.107396619
16,0.109043233
16,0.113837428
16,0.107156926
16,0.103858325
16,0.085793038
16,0.099219805
16,0.103585151
16,0.100095289
16,0.111248152
16,0.105190249
16,0.101733011
16,0.110614787
16,0.072315168
16,0.090583047
16,0.103986991
16,0.113863350
16,0.104766533
16,0.097286220
16,0.105227964
16,0.104153106
16,0.106782792
16,0.100595855
16,0.097341207
16,0.099781970
16,0.104445107
16,0.119611844
16,0.105831638
16,0.109737004
16,0.102088884
16,0.097513154
16,0.099785647
16,0.102120608
16,0.085618488
16,0.101260374
16,0.070849930
16,0.093316042
16,0.104884805
16,0.098173248
16,0.108189278
16,0.105891743
16,0.109783313
16,0.105125297
16,0.107272030
16,0.096606271
16,0.101748672
16,0.106991604
16,0.113589759
16,0.104999255
16,0.106411697
16,0.106551078
16,0.080357639
16,0.094738383
16,0.100217554
16,0.209190808
16,0.092034932
16,0.100410713
16,0.109949593
16,0.064494538
16,0.081231043
16,0.098274102
16,0.096411327
16,0.094647316
16,0.103286638
16,0.104324069
16,0.109312787
16,0.102251222
16,0.101242105
16,0.073058949
16,0.093742182
16,0.108729715
16,0.098984733
16,0.102424239
16,0.116101615
16,0.093203382
16,0.098922394
16,0.099663528
16,0.102733931
16,0.108425761
16,0.107722539
16,0.095711286
16,0.104191035
16,0.098941075
16,0.098843367
16,0.099622527
16,0.100689625
16,0.102831288
16,0.109660670
16,0.105039324
16,0.123147196
16,0.103630073
16,0.080688840
16,0.097004372
16,0.098724742
16,0.099795557
16,0.097688741
16,0.094843130
16,0.114068073
16,0.116783480
16,0.071940965
16,0.079183021
16,0.089307555
16,0.102360510
16,0.100860725
16,0.108226381
16,0.103943494
16,0.105903618
16,0.100306396
16,0.108000925
16,0.104203293
16,0.109260418
16,0.098326565
16,0.099691073
16,0.103742764
16,0.104430119
16,0.097997804
16,0.098630535
16,0.108274507
16,0.108446781
16,0.109052069
16,0.107557764
16,0.104202086
16,0.103177138
16,0.098601202
16,0.099629598
16,0.093645055
16,0.098862652
16,0.112772257
16,0.104425512
16,0.109439823
16,0.105382588
16,0.103437602
16,0.099685792
16,0.095748662
16,0.104687730
16,0.096200730
16,0.103711253
16,0.231932874
16,0.096829248
16,0.098190668
16,0.100306524
16,0.092714175
16,0.088967997
16,0.098482469
16,0.108749426
16,0.103661865
16,0.113232556
16,0.095770063
16,0.093983846
16,0.097397743
16,0.102253409
16,0.108806295
16,0.101238622
16,0.110046517
16,0.105254744
16,0.106701666
16,0.099861470
16,0.099315433
16,0.102455415
16,0.074542205
16,0.099433460
16,0.111001617
16,0.104926380
16,0.103660937
16,0.105371685
16,0.098166007
16,0.109120778
16,0.105635206
16,0.095166168
16,0.062456472
16,0.087037524
16,0.100238686
16,0.100366070
16,0.109645044
16,0.102567114
16,0.103586378
16,0.110195373
16,0.109452735
16,0.096785005
16,0.105664999
16,0.098539354
16,0.098540985
16,0.103218231
16,0.098039288
16,0.100520178
16,0.110816367
16,0.103328579
16,0.100212689
16,0.093471383
16,0.097140578
16,0.094652864
16,0.094121324
16,0.083850201
16,0.111815682
16,0.099554239
16,0.109495175
16,0.110318048
16,0.108001629
16,0.102621051
16,0.103134371
16,0.102655580
16,0.110265190
16,0.110067697
16,0.090828599
16,0.089128456
16,0.096614013
16,0.091383471
16,0.101433989
16,0.105217669
16,0.104481960
16,0.114031078
16,0.111948576
16,0.101518026
16,0.107174111
16,0.104781876
16,0.103116372
16,0.102618368
16,0.110008930
16,0.101179576
16,0.094934586
16,0.096665955
16,0.101661589
16,0.094609434
16,0.089891529
16,0.096991448
16,0.104163253
16,0.105035562
16,0.101639705
16,0.234423303
16,0.103464565
16,0.104835077
16,0.100789653
16,0.105558630
16,0.111109874
16,0.100085046
16,0.099580036
16,0.074627136
16,0.088997000
16,0.098172922
16,0.103834484
16,0.112021865
16,0.109565268
16,0.104295484
16,0.104119107
16,0.100477534
16,0.095009889
16,0.109613600
16,0.081691502
16,0.090576063
16,0.109546446
16,0.090747706
16,0.088419374
16,0.099320589
16,0.104908441
16,0.104723781
16,0.109959138
16,0.108500679
16,0.104647889
16,0.102369135
16,0.079897599
16,0.087341063
16,0.096165760
16,0.103177520
16,0.107122316
16,0.107334522
16,0.110712075
16,0.108531609
16,0.099476081
16,0.099032668
16,0.104360896
16,0.101192261
16,0.108845568
16,0.108359663
16,0.111403931
16,0.106165707
16,0.104827175
16,0.060210209
16,0.061951897
16,0.069074778
16,0.089956867
