Resolution,Latency(s)
16,0.015881
16,0.026404
16,0.015146
16,0.015986
16,0.016156
16,0.026523
16,0.015913
16,0.015078
16,0.025271
16,0.015022
16,0.024540
16,0.025138
16,0.015199
16,0.022091
16,0.000294
16,0.014421
16,0.024868
16,0.015020
16,0.014556
16,0.014459
16,0.028217
16,0.017502
16,0.030812
16,0.015610
16,0.014784
16,0.024460
16,0.014923
16,0.014786
16,0.000214
16,0.000643
16,0.000922
16,0.000577
16,0.015489
16,0.025322
16,0.000671
16,0.024166
16,0.000691
16,0.014518
16,0.014527
16,0.000218
16,0.025270
16,0.014116
16,0.014163
16,0.000765
16,0.014860
16,0.024134
16,0.000550
16,0.024507
16,0.025446
16,0.000705
16,0.000678
16,0.000747
16,0.000651
16,0.024736
16,0.014035
16,0.000167
16,0.014357
16,0.014561
16,0.000185
16,0.000677
16,0.000627
16,0.000162
16,0.000182
16,0.014061
16,0.015064
16,0.000114
16,0.000618
16,0.024983
16,0.014267
16,0.000451
16,0.000559
16,0.000633
16,0.023654
16,0.000160
16,0.025314
16,0.000604
16,0.000502
16,0.000614
16,0.014838
16,0.000630
16,0.014953
16,0.000897
16,0.015483
16,0.000116
16,0.000191
16,0.016223
16,0.015107
16,0.000937
16,0.014246
16,0.000605
16,0.000880
16,0.000086
16,0.014538
16,0.000750
16,0.001119
16,0.014336
16,0.000913
16,0.000699
16,0.000487
16,0.000601
16,0.000502
16,0.000817
16,0.025633
16,0.000767
16,0.000325
16,0.014724
16,0.000246
16,0.000890
16,0.000753
16,0.000921
16,0.000561
16,0.000561
16,0.000326
16,0.000536
16,0.000541
16,0.000570
16,0.000917
16,0.000662
16,0.000541
16,0.000662
16,0.014429
16,0.000881
16,0.000688
16,0.000484
16,0.000554
16,0.000476
16,0.000679
16,0.000583
16,0.014715
16,0.024823
16,0.000168
16,0.025814
16,0.000709
16,0.000895
16,0.000872
16,0.000581
16,0.000242
16,0.000112
16,0.000517
16,0.000516
16,0.016417
16,0.000467
16,0.000610
16,0.000697
16,0.014672
16,0.000861
16,0.000530
16,0.000565
16,0.015005
16,0.000585
16,0.000204
16,0.000632
16,0.014770
16,0.001095
16,0.024697
16,0.000551
16,0.000170
16,0.024834
16,0.000466
16,0.000520
16,0.001082
16,0.000561
16,0.000818
16,0.000710
16,0.000755
16,0.000742
16,0.000477
16,0.024498
16,0.025140
16,0.000520
16,0.000573
16,0.000442
16,0.000456
16,0.001118
16,0.000598
16,0.000472
16,0.014297
16,0.014566
16,0.000738
16,0.025683
16,0.001021
16,0.000692
16,0.000455
16,0.000650
16,0.000798
16,0.000458
16,0.014607
16,0.000961
16,0.000478
16,0.000522
16,0.000978
16,0.001352
16,0.000171
16,0.000496
16,0.014088
16,0.000516
16,0.014257
16,0.015165
16,0.015596
16,0.000466
16,0.025364
16,0.000938
16,0.000570
16,0.000429
16,0.000768
16,0.000641
16,0.023024
16,0.014772
16,0.000971
16,0.001228
16,0.000320
16,0.000887
16,0.000705
16,0.000418
16,0.000432
16,0.024819
16,0.014767
16,0.000979
16,0.015912
16,0.000438
16,0.001030
16,0.000763
16,0.000432
16,0.000511
16,0.000769
16,0.014174
16,0.000441
