Resolution,Latency(s)
16,0.121555241
16,0.109037087
16,0.107121864
16,0.106639971
16,0.113256319
16,0.107202972
16,0.103805182
16,0.106062014
16,0.110976700
16,0.083421971
16,0.099408603
16,0.102905438
16,0.097146831
16,0.101851888
16,0.105737311
16,0.108914976
16,0.114472755
16,0.101747769
16,0.097985260
16,0.103163048
16,0.096975573
16,0.097257914
16,0.105651473
16,0.107543485
16,0.112945664
16,0.114432370
16,0.110162451
16,0.110189876
16,0.114529175
16,0.111712645
16,0.106278273
16,0.115161395
16,0.112766771
16,0.106370660
16,0.113994376
16,0.112411948
16,0.101931776
16,0.070152756
16,0.102316051
16,0.101254740
16,0.083855514
16,0.107369638
16,0.098828817
16,0.106599232
16,0.102791068
16,0.107866821
16,0.102084258
16,0.103620067
16,0.110932565
16,0.102610675
16,0.076675644
16,0.093547267
16,0.096155268
16,0.110534204
16,0.103658157
16,0.109635430
16,0.111598579
16,0.111768497
16,0.101299360
16,0.096365089
16,0.113699940
16,0.109504099
16,0.106195174
16,0.106824034
16,0.111754167
16,0.108779431
16,0.084602638
16,0.067803871
16,0.064638012
16,0.086825453
16,0.091193446
16,0.103793295
16,0.115989455
16,0.103343067
16,0.099171905
16,0.103846105
16,0.113746565
16,0.081371777
16,0.079922316
16,0.091974434
16,0.111013149
16,0.103676694
16,0.103839193
16,0.109382135
16,0.106145344
16,0.105570224
16,0.109098572
16,0.105340342
16,0.110370024
16,0.080980156
16,0.097814845
16,0.114517460
16,0.102887825
16,0.099070002
16,0.105077989
16,0.109627278
16,0.109304167
16,0.109091028
16,0.104490929
16,0.111817432
16,0.106615665
16,0.098265325
16,0.098480262
16,0.104588018
16,0.118359295
16,0.112809053
16,0.100472651
16,0.103535434
16,0.094488377
16,0.107079943
16,0.097500786
16,0.110945059
16,0.109395850
16,0.104955449
16,0.104071427
16,0.109985193
16,0.110026984
16,0.109540879
16,0.104030686
16,0.100032994
16,0.106131818
16,0.102250368
16,0.101566568
16,0.099634798
16,0.115436609
16,0.075230696
16,0.081345664
16,0.102755708
16,0.105774792
16,0.103853303
16,0.096486148
16,0.103402985
16,0.103274320
16,0.099333936
16,0.104919374
16,0.113799474
16,0.109526794
16,0.102892160
16,0.108977594
16,0.099906609
16,0.106073102
16,0.109821617
16,0.105266726
16,0.100446434
16,0.109339482
16,0.096326694
16,0.110363674
16,0.106617529
16,0.099846497
16,0.097053261
16,0.095397401
16,0.090001318
16,0.109966308
16,0.108625961
16,0.093095287
16,0.101383694
16,0.103597366
16,0.126392786
16,0.109826777
16,0.120823767
16,0.113731256
16,0.064597222
16,0.089267955
16,0.122723441
16,0.101288849
16,0.101377911
16,0.100989546
16,0.111047698
16,0.111112882
16,0.103702274
16,0.106871788
16,0.191924448
16,0.112753754
16,0.097285879
16,0.111243237
16,0.072067132
16,0.106019981
16,0.100701233
16,0.105563824
16,0.105797714
16,0.103894315
16,0.101055973
16,0.115750613
16,0.106245557
16,0.108431628
16,0.100531909
16,0.105013130
16,0.100705986
16,0.105212872
16,0.104978650
16,0.099928807
16,0.110611287
16,0.124824050
16,0.112328392
16,0.072854602
16,0.097153622
16,0.095990157
16,0.094623856
16,0.107293546
16,0.093492239
16,0.054588792
16,0.058304116
16,0.082693009
16,0.093995541
16,0.097985082
16,0.113099103
16,0.108012385
16,0.108163584
16,0.110618316
16,0.109939469
16,0.114908945
16,0.112148265
16,0.306126497
16,0.100031910
16,0.105587624
16,0.111230128
16,0.104920541
16,0.086563322
16,0.105284411
16,0.086304840
16,0.112555233
16,0.112097725
16,0.084181273
16,0.097746987
16,0.107238089
16,0.102190362
16,0.102500432
16,0.106345235
16,0.106081761
16,0.104670878
16,0.107099988
16,0.092068241
16,0.108955250
16,0.102845900
16,0.107666960
16,0.106039180
16,0.099648781
16,0.102781588
16,0.100334831
16,0.091318241
16,0.118525582
16,0.103267249
16,0.101055094
16,0.104221817
16,0.100357545
16,0.103137511
16,0.105515067
16,0.109873804
