Resolution,Latency(s)
16,0.878078171
16,0.813552177
16,0.827842470
16,0.899249020
16,0.824726256
16,0.815590761
16,0.806531324
16,0.860480923
16,0.721907992
16,0.792086872
16,0.856392281
16,0.822637189
16,0.844833601
16,0.847667969
16,0.854104323
16,0.785994001
16,0.832538824
16,0.844651058
16,0.806494069
16,0.875542435
16,0.806901207
16,0.908598164
16,0.846760728
16,0.837266408
16,0.800074555
16,0.718649762
16,1.072504270
16,0.791599234
16,0.829754713
16,0.820890316
16,0.847375665
16,0.876254921
16,0.797552832
16,0.813538186
16,0.869611736
16,0.774620163
16,0.959670239
16,0.753972680
16,0.838045864
16,0.823593370
16,0.799251630
16,0.808352665
16,0.959133948
16,0.795556507
16,0.850905074
16,0.802313597
16,0.858053987
16,0.817213220
16,0.785246018
16,0.812348168
16,0.812820941
16,0.818888365
16,0.832848646
16,0.832000244
16,0.852193296
16,0.804141922
16,0.859058282
16,0.818924965
16,0.822739970
16,0.797770439
16,0.817660473
16,0.791869272
16,0.827215138
16,0.816339692
16,0.818282237
16,0.764859503
16,0.811064040
16,0.984669804
16,0.808001428
16,0.731434604
16,0.816584033
16,0.829378621
16,0.888386665
16,0.840028348
16,0.849482230
16,0.793292756
16,0.794763577
16,0.904905888
16,0.839941905
16,0.832813951
16,0.818282902
16,0.811533193
16,0.953813413
16,0.822338067
16,0.809162551
16,0.804026174
16,0.830975468
16,0.957999204
16,0.818687324
16,0.819770090
16,0.785162951
16,0.797584019
16,0.776765665
16,0.843477362
16,0.823118058
16,0.770428657
16,0.813318485
16,0.786186423
16,0.836431185
16,0.822843012
16,0.780445991
16,0.742213614
